"Acupoint","Superclass","Label","Synonym","Location","Indications","Acupuncture Method","Vasculature","Innervation","Reference",""
"Taiyang","TARA:Extra_Acupoint","Taiyang","","In the depression about one finger breadth posterior to the midpoint between the lateral end of the eyebrow and the outer canthus.","Headache, eye diseases, deviation of the eyes and mouth.","Puncture perpendicularly 0.3-0.5 inch, or prick to cause bleeding.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017587",""
"Yintang","TARA:Extra_Acupoint","Yintang","","Midway between the medial ends of the two eyebrows.","Headache, head heaviness, epistaxis, rhinorrhea, infantile convulsion, frontal headache, insomnia.","Puncture subcutaneously 0.3-0.5 inch. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017588",""
"Shanglianquan","TARA:Extra_Acupoint","Shanglianquan","","I cun below the midpoint of the lower jaw, in the depression between the hyoid bone and the lower border of the jaw.","Alalia, salivation with stiff tongue, sore throat, difficulty in swallowing, loss of voice.","Puncture obliquely 0.8-1.2 inches toward the tongue root.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017589",""
"Erjian","TARA:Extra_Acupoint","Erjian","","Fold the auricle, the point is at the apex of the auricle.","Redness, swelling and pain of the eyes, febrile disease, nebula.","Puncture perpendicularly 0.1-0.2 inch or prick to cause bleeding.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017590",""
"Yuyao","TARA:Extra_Acupoint","Yuyao","","At the midpoint of the eyebrow, directly above the pupil.","Pain in the supraorbital region, twitching of the eyelids, ptosis, cloudiness of the cornea, redness, swelling and pain of the eyes.","Puncture subcutaneously 0.3-0.5 inch.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017591",""
"Sishencong","TARA:Extra_Acupoint","Sishencong","","A group of 4 points, at the vertex, 1 cun respectively posterior, anterior and lateral to Baihui (GV 20). (See Fig. 119)","Headache, vertigo, insomnia, poor memory, epilepsy.","Puncture subcutaneously 0.5-1.0 inch. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017592",""
"Qiuhou","TARA:Extra_Acupoint","Qiuhou","","At the junction of the lateral 1/4 and the medial 3/4 of the infraorbital margin.","Eye diseases.","Push the eyeball upward gently, then puncture perpendicularly 0.5-1.2 inches along the orbital margin slowly without movements of lifting, thrusting, twisting and rotating.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017593",""
"Jiachengjiang","TARA:Extra_Acupoint","Jiachengjiang","","1 cun lateral to Chengjiang (CV 24).","Pain in the face, deviation of the eyes and mouth, spasm of facial muscle.","Puncture obliquely 0.5-1.0 inch..","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017594",""
"Jinjing","TARA:Extra_Acupoint","Jinjing","Yuye","On the veins on both sides of the frenulum of the tongue, Jinjin is on the left, Yuye, on the right.","Swelling of the tongue, vomiting, aphasia with stiffness of tongue.","Prick to cause bleeding.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017595",""
"Bitong","TARA:Extra_Acupoint","Bitong","","At the highest point of the nasolabial groove.","Rhinitis, nasal obstruction, nasal boils.","Puncture subcutaneously upward 0.3-0.5 inch.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017596",""
"Qianzheng","TARA:Extra_Acupoint","Qianzheng","","0.5-1.0 cun anterior to the auricular lobe.","Deviation of the eyes and mouth, ulceration on tongue and mouth.","Puncture obliquely 0.5- 1.0 inch.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017597",""
"Yiming","TARA:Extra_Acupoint","Yiming","","1 cun posterior to Yifeng (TE 17).","Eye diseases, tinnitus, insomma.","Puncture perpendicularly 0.5-0.8 inch.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017598",""
"Anmian","TARA:Extra_Acupoint","Anmian","","Midpoint between Yifeng (TE 17) and Fengchi (GB 20).","Insomnia, vertigo, headache, palpitation, mental disorders.","Puncture perpendicularly 0.5-0.8 inch.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017599",""
"Dingchuan","TARA:Extra_Acupoint","Dingchuan","","0.5 cun lateral to Dazhui (GV 14).","Asthma, cough, neck rigidity, pain in the shoulder and back, rubella.","Puncture perpendicularly 0.5-0.8 inch. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017600",""
"Huatuojiaji","TARA:Extra_Acupoint","Huatuojiaji","","A group of 34 points on both sides of the spinal column, 0.5 cun lateral to the lower border of each spinous process from the first thoracic vertebra to the fifth lumbar vertebra.","","Puncture perpendicularly 0.5-1.0 inch in the cervical and chest region, puncture perpendicularly 1.0-1.5 inches in the lumbar region. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017601",""
"Bailao","TARA:Extra_Acupoint","Bailao","","2 cun above Dazhui (GV 14), 1 cun lateral to the midline.","Scrofula, cough, asthma, whooping cough, neck rigidity.","Puncture perpendicularly 0.3-0.5 inch. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017602",""
"Weiwanxiashu","TARA:Extra_Acupoint","Weiwanxiashu","","1.5 cun lateral to the lower border of the spinous process of the eighth thoracic vertebra. (See Fig. 123)","Diabetes, vomiting, abdominal pain, pain in the chest and hypochondriac region.","Puncture obliquely 0.5-0.7 inch. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017603",""
"Shiqizhui","TARA:Extra_Acupoint","Shiqizhui","","Below the spinous process of the fifth lumbar vertebra.","Lumbar Pain, thigh pain, paralysis of the lower extremities, irregular menstruation, dysmenorrhea.","Puncture perpendicularly 0.8-1.2 inches. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017604",""
"Yaoqi","TARA:Extra_Acupoint","Yaoqi","","2 cun directly above the tip of the coccyx.","Epilepsy, headache, inomnia, constipation.","Puncture subcutaneously upward 1.0-2.0 inches. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017605",""
"Pigen","TARA:Extra_Acupoint","Pigen","","3.5 cun lateral to the lower border of the spinous process of the first lumbar vertebra.","Hepatosplenomegaly, lumbar pain.","Puncture perpendicularly 0.5-0.8 inch. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017606",""
"Yaoyan","TARA:Extra_Acupoint","Yaoyan","","About 3.5-4 cun lateral to the lower border of the spinous process of the 4th lumbar vertebra. The point is in the depression appearing in prone position.","Lumbar pain, frequency of urine, irregular menstruation.","Puncture perpendicularly 0.8-1.2 inches. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017607",""
"Zigongxue","TARA:Extra_Acupoint","Zigongxue","","3 cun lateral to Zhongji (CV 3).","Prolapse of the uterus, irregular menstruation.","Puncture perpendicularly 0.8-1.2 inches. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017608",""
"Jianqian","TARA:Extra_Acupoint","Jianqian","Jianneiling","Midway between the end of the anterior axillary fold and Jianyu (L I 15).","Pain in the shoulder and arm, paralysis of the upper extremities.","Puncture perpendicularly 0.8-1.2 inches. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017609",""
"Shixuan","TARA:Extra_Acupoint","Shixuan","","On the tips of the ten fingers, about 0.1 cun distal to the nails.","Apoplexy, coma, epilepsy, high fever, acute tonsillitis, infantile convulsion, numbness of the finger tips.","Puncture 0.1-0.2 inch superficially, or prick to cause bleeding.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017610",""
"Sifeng","TARA:Extra_Acupoint","Sifeng","","On the palmar surface, in the midpoint of the transverse creases of the proximal interphalangeal joints of the index, middle, ring and little fingers.","Malnutrition and indigestion syndrome in children, whooping cough.","Prick to cause bleeding, or squeeze out a small amount of yellowish viscous fluid locally.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017611",""
"Zhongkui","TARA:Extra_Acupoint","Zhongkui","","On the midpoint of the proximal interphalangeal joint of the middle finger at dorsum aspect.","Nausea, vomiting, hiccup.","Moxibustion is applied with three moxa cones.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017612",""
"Baxie","TARA:Extra_Acupoint","Baxie","","On the dorsum of the hand, at the junction of the white and red skin of the hand webs, eight in all, making a loose fist to locate the points.","Excessive heat, finger numbness, spasm and contracture of the fingers, redness and swelling of the dorsum of the hand.","Puncture obliquely 0.3-0.5 inch, or prick to cause bleeding. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017613",""
"Luozhen","TARA:Extra_Acupoint","Luozhen","","On the dorsum of the hand, between the second and third metacarpal bones, about 0.5 cun posterior to metacarpophalangeal joint.","Sore neck, pain in the shoulder and arm.","Puncture perpendicularly 0.5-0.8 inch.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017614",""
"Yaotongxue","TARA:Extra_Acupoint","Yaotongxue","","On the dorsum of the hand, midway between the transverse wrist crease and metacarpophalangeal joint, between the second and third metacarpal bones, and between the fourth and fifth metacarpal bones, four points in all on both hands.","","Puncture obliquely 0.5-1.0 inch toward the centre of metacarpus from both sides.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017615",""
"Zhongquan","TARA:Extra_Acupoint","Zhongquan","","On the dorsal crease of the wrist, in the depression on the radial side of the tendon of common extensor muscle of fingers between Yangxi (Ll 5) and Yangchi (TE 4).","Stuffy chest, gastric pain, spitting of blood.","Puncture perpendicularly 0.3-0.5 inch. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017616",""
"Erbai","TARA:Extra_Acupoint","Erbai","","On the metacarpal aspect of the forearm, 4 cun above the transverse wrist crease, on the both sides of the tendon of m. flexor carpi radialis, two points on one hand.","Hemorrhoids, prolapse of the rectum.","Puncture perpendicularly 0.5- 1.0 inch. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017617",""
"Bizhong","TARA:Extra_Acupoint","Bizhong","","On the lateral aspect of the forearm, midway between the transverse wrist crease and elbow crease, between the radius and the ulna.","Paralysis, spasm and contracture of the upper extremities, pain of the forearm.","Puncture perpendicularly 1.0-1.2 inches. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017618",""
"Zhoujian","TARA:Extra_Acupoint","Zhoujian","","On the tip of the ulnar olecranon when the elbow is flexed.","","","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017619",""
"Huanzhong","TARA:Extra_Acupoint","Huanzhong","","Midway between Huantiao (GB 30) and Yaoshu (GV 2).","Lumbar pain, thigh pain.","Puncture perpendicularly 1.5-2.0 inches. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017620",""
"Baichongwo","TARA:Extra_Acupoint","Baichongwo","","1 cun above Xuehai (SP 10).","Rubella, eczema, gastrointestinal parasitic diseases.","Pu ncture perpendicularly 1.0-1.2 inches. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017621",""
"Xiyan","TARA:Extra_Acupoint","Xiyan","","A pair of points in the two depressions, medial and lateral to the patellar ligament, locating the point with the knee flexed. These two points are also termed medial and lateral Xiyan respectively. Lateral Xiyan overlaps with Dubi (ST 35).","Knee pain, weakness of the lower extremities.","Puncture perpendicularly 0.5- 1.0 inch. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017622",""
"Medial Xiyan","Xiyan","Medial Xiyan","","A Xiyan point located in the depression, medial to the patellar ligament, locating the point with the knee flexed.","Knee pain, weakness of the lower extremities.","Puncture perpendicularly 0.5- 1.0 inch. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017622",""
"Lateral Xiyan","Xiyan","Lateral Xiyan","","A Xiyan point located in the depression, lateral to the patellar ligament, locating the point with the knee flexed. Lateral Xiyan overlaps with Dubi (ST 35).","Knee pain, weakness of the lower extremities.","Puncture perpendicularly 0.5- 1.0 inch. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017622",""
"Lanweixue","TARA:Extra_Acupoint","Lanweixue","","The tender spot about 2 cun below Zusanli (ST 36).","Acute and chronic appendicitis, indigestion, paralysis of the lower extremities.","Puncture perpendicularly 1.0-1.2 inches.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017623",""
"Heding","TARA:Extra_Acupoint","Heding","","In the depression of the midpoint of the superior patellar border.","Knee pain, weakness of the foot and leg, paralysis.","Puncture perpendicularly 0.1-0.5 inch. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017624",""
"Dannangxue","TARA:Extra_Acupoint","Dannangxue","","The tender spot 1-2 cun directly below Yanglingquan (GB 34).","Acute and chronic cholecystitis, cholelithiasis, biliary ascariasis, muscular atrophy and numbness of the lower extremities.","Puncture perpendicularly 0.8-1.2 inches.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017625",""
"Bafeng","TARA:Extra_Acupoint","Bafeng","","On the dorsum of foot, in the depressions on the webs between toes, proximal to the margins of the webs, at the junction of the red and white skin, eight points in all.","Beriberi, toe pain, redness and swelling of the dorsum of the foot.","Puncture obliquely 0.5-0.8 inch. Moxibustion is applicable.","","","Chapter 10 of ""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017626",""